Deliverable,Ignore,Task,Assignee,Duration Override,Duration Default,Start Date,Due Date,Week Due,Notes,Status,Link Ref,Card Title
Community Setup,Other Tasks,Create Prospect Identification DM Template,Paul,3,,17/07/2025,22/07/2025,30,Draft template for Paul to use when a community member becomes a suitable prospect.,Not Started,,Create Prospect Identification DM Template | Not Started
Community Setup,Other Tasks,Write EDM for Past Workshop Attendees,Auri,3,,22/07/2025,25/07/2025,30,Email copy to invite and convert past attendees for the soft launch.,Not Started,,Write EDM for Past Workshop Attendees | Not Started
Community Promotion,Other Tasks,Execute Soft Launch of Community,Paul,3,,07/07/2025,10/07/2025,28,Invite past workshop attendees and current warm leads.,Not Started,,Execute Soft Launch of Community | Not Started
Community Promotion,Other Tasks,Public Full Launch of Community,Paul,3,,04/08/2025,07/08/2025,32,Promote community to the wider audience.,Not Started,,Public Full Launch of Community | Not Started
Community Promotion,Other Tasks,Design Community Promotion Slide for Workshop,Mike,3,,07/08/2025,12/08/2025,33,Create a slide to promote the workshop to new community attendees.,Not Started,,Design Community Promotion Slide for Workshop | Not Started
StoryBrand Campaign,Other Tasks,Finalise StoryBrand Campaign Outline,Auri,3,,07/07/2025,10/07/2025,28,Alex to contribute on copy and messaging strategy.,Not Started,,Finalise StoryBrand Campaign Outline | Not Started
StoryBrand Campaign,Other Tasks,Develop & Record 30 min Masterclass Video,Alex,3,,10/07/2025,15/07/2025,29,"Develop the 30-minute ""Brandscript Masterclass"" video. Auri to contribute on strategy.",Not Started,,Develop & Record 30 min Masterclass Video | Not Started
StoryBrand Campaign,Other Tasks,Wireframe for Masterclass Opt-in Page,Auri,3,,15/07/2025,18/07/2025,29,Finalise the outline for the SB Masterclass campaign,Not Started,,Wireframe for Masterclass Opt-in Page | Not Started
StoryBrand Campaign,Other Tasks,Build Masterclass Opt-In Page,Timo,3,,18/07/2025,23/07/2025,30,Create the landing page on the main website.,Not Started,,Build Masterclass Opt-In Page | Not Started
StoryBrand Campaign,Other Tasks,Host Masterclass Video in Circle,Thomas,3,,23/07/2025,28/07/2025,31,Thomas to provide technical support for the upload and hosting.,Not Started,,Host Masterclass Video in Circle | Not Started
StoryBrand Campaign,Other Tasks,Write Masterclass Sign-up EDM Flow,Alex,3,,28/07/2025,31/07/2025,31,"Create the ""Thanks for signing up"" and subsequent nurturing emails.",Not Started,,Write Masterclass Sign-up EDM Flow | Not Started
Offer Optimisation,Other Tasks,Finalise CMO Management Dashboard,JJ,10,,23/06/2025,07/07/2025,28,Finalise the dashboard mechanism. Thomas to support with technical integration.,Not Started,,Finalise CMO Management Dashboard | Not Started
Offer Optimisation,Other Tasks,Launch CMO Website,Timo,3,,30/06/2025,03/07/2025,27,Final sign-off from Alex/Auri on content before launch.,Not Started,,Launch CMO Website | Not Started
StoryBrand Campaign,Other Tasks,Launch StoryBrand Campaign,JJ,3,,03/07/2025,08/07/2025,28,"Coordinated launch of the campaign. JJ to monitor performance, Paul to engage leads.",Not Started,,Launch StoryBrand Campaign | Not Started
